x, y, theta, stamp, 
2.05564703037453e-08, -2.4176456392410728e-08, 2.3844168666421294e-07, 1761312345738487610, 
2.05564703037453e-08, -2.4176456392410728e-08, 2.384417891898803e-07, 1761312345786490334, 
2.05564703037453e-08, -2.4176456392410728e-08, 2.384414688089764e-07, 1761312345888516483, 
2.05564703037453e-08, -2.4176456392410728e-08, 2.384400900772696e-07, 1761312346003514571, 
2.05564703037453e-08, -2.4176456392410728e-08, 2.3843940795586236e-07, 1761312346043482508, 
0.001481871004216373, -5.110096390126273e-05, -0.002120736520663453, 1761312346092572703, 
0.0058617182075977325, -0.000304055109154433, -0.002783784182126097, 1761312346142674505, 
0.012834778055548668, -0.00027556653367355466, -0.002397776808685098, 1761312346192555359, 
0.022091131657361984, -0.000765188888181001, -0.002162455692556524, 1761312346242598159, 
0.030464157462120056, -0.0010756258852779865, -0.0029289725666685747, 1761312346282762349, 
0.04341033101081848, -0.001089625060558319, -0.0020196411011289225, 1761312346332593720, 
0.07840492576360703, -0.0013560636434704065, -0.0010628684975015703, 1761312346442540127, 
0.1082889512181282, -0.0014651829842478037, 0.0009686924358731255, 1761312346538672569, 
0.13831976056098938, -0.0014985069865360856, 0.01338693917883289, 1761312346638005014, 
0.16828736662864685, -0.0011136179091408849, 0.028996905449906112, 1761312346735106857, 
0.20159371197223663, 2.302424400113523e-05, 0.05564065281421037, 1761312346845482252, 
0.23032072186470032, 0.0019495494198054075, 0.08126761226226879, 1761312346938575005, 
0.2607029378414154, 0.004708699882030487, 0.1092746721614929, 1761312347038632026, 
0.2907487452030182, 0.008459914475679398, 0.16655834622876456, 1761312347136717426, 
0.32319024205207825, 0.01493340078741312, 0.26127603358552515, 1761312347246387688, 
0.3486728370189667, 0.022635726258158684, 0.35569653872818385, 1761312347338514457, 
0.37526267766952515, 0.03365530073642731, 0.4554113550721852, 1761312347437882570, 
0.40237000584602356, 0.047804076224565506, 0.5339718551453988, 1761312347536608456, 
0.4303392171859741, 0.06525157392024994, 0.6224187709367721, 1761312347646334621, 
0.4529789686203003, 0.08215435594320297, 0.7003179049141873, 1761312347738685894, 
0.47760799527168274, 0.1036411002278328, 0.7598625477778799, 1761312347842509183, 
0.4973907470703125, 0.12240522354841232, 0.7979648934055406, 1761312347932484708, 
0.5204969644546509, 0.14685989916324615, 0.8464581058202701, 1761312348042646762, 
0.5411369800567627, 0.17054656147956848, 0.8674547350935725, 1761312348142527548, 
0.5593731999397278, 0.19196392595767975, 0.8780801932098038, 1761312348237551129, 
0.5787862539291382, 0.21580196917057037, 0.8987803648396867, 1761312348337381305, 
0.5996506214141846, 0.2424989640712738, 0.9118040421185921, 1761312348447426433, 
0.6170514225959778, 0.2643826901912689, 0.9021236523529176, 1761312348537524256, 
0.6369123458862305, 0.28865379095077515, 0.8856225217507181, 1761312348643519921, 
0.6547504663467407, 0.3096308708190918, 0.872112967992798, 1761312348732062406, 
0.6765502691268921, 0.3355903923511505, 0.8848282753158105, 1761312348842254274, 
0.6952766180038452, 0.35902392864227295, 0.9053317974601082, 1761312348942651640, 
0.7138122320175171, 0.38325533270835876, 0.9282827705564239, 1761312349042736213, 
0.7302331328392029, 0.4054594039916992, 0.9472657889433127, 1761312349132417656, 
0.7499411106109619, 0.4331628084182739, 0.9662333631958054, 1761312349242614286, 
0.766965389251709, 0.4583975374698639, 0.9820277271711187, 1761312349342585632, 
0.7838172316551208, 0.4838137626647949, 0.9991302083487694, 1761312349443825051, 
0.8020066022872925, 0.5127296447753906, 1.0195761232419518, 1761312349552393294, 
0.8148806691169739, 0.5335292816162109, 1.0298387883182003, 1761312349632863826, 
0.8316695094108582, 0.5617176294326782, 1.0563084436332877, 1761312349742652515, 
0.8466808795928955, 0.588703989982605, 1.0821130659793043, 1761312349842590536, 
0.8621929883956909, 0.6188123226165771, 1.1067924034180532, 1761312349952500985, 
0.8749587535858154, 0.6438936591148376, 1.1092440897272777, 1761312350042942119, 
0.8884263634681702, 0.6706587672233582, 1.1076830536630766, 1761312350142724697, 
0.9013975858688354, 0.6966546773910522, 1.1276733205649412, 1761312350237544902, 
0.9135866761207581, 0.7229286432266235, 1.1548619725220914, 1761312350332940195, 
0.9270889163017273, 0.7541971802711487, 1.1684419410891376, 1761312350442006533, 
0.9387844800949097, 0.7819938063621521, 1.176935582051658, 1761312350542561341, 
0.9507213830947876, 0.8101111650466919, 1.1661496253888628, 1761312350638583510, 
0.9646414518356323, 0.8411127328872681, 1.1374040773943788, 1761312350752723720, 
0.9763509631156921, 0.8660455346107483, 1.1369018327977272, 1761312350842076950, 
0.9893141984939575, 0.8934440016746521, 1.1410154371606527, 1761312350942552738, 
1.0018434524536133, 0.9199629426002502, 1.134858983720115, 1761312351038572434, 
1.0143672227859497, 0.94621342420578, 1.1309375038427754, 1761312351132871204, 
1.0287277698516846, 0.976314902305603, 1.1266925734908393, 1761312351242309470, 
1.0420598983764648, 1.0037802457809448, 1.121282236857718, 1761312351342553604, 
1.0550063848495483, 1.029943823814392, 1.118482437082535, 1761312351438323972, 
1.0677906274795532, 1.055546522140503, 1.1142528218631425, 1761312351532106524, 
1.0825217962265015, 1.0858820676803589, 1.1347464795131075, 1761312351642130851, 
1.0950868129730225, 1.1134638786315918, 1.163515637881957, 1761312351742574831, 
1.107039451599121, 1.1411890983581543, 1.16997928839511, 1761312351838820031, 
1.1182808876037598, 1.1673017740249634, 1.1721218068600234, 1761312351932039361, 
1.1314804553985596, 1.1980453729629517, 1.1753347048330491, 1761312352042896264, 
1.1433745622634888, 1.226259469985962, 1.1804489457003626, 1761312352142578832, 
1.1546423435211182, 1.253436803817749, 1.187880438120659, 1761312352238659638, 
1.1679091453552246, 1.2859282493591309, 1.185759276892541, 1761312352353081580, 
1.1779968738555908, 1.311570644378662, 1.197780451285513, 1761312352442345930, 
1.1888121366500854, 1.3398593664169312, 1.2124414160218226, 1761312352542667333, 
1.199408769607544, 1.367732286453247, 1.2116037642412305, 1761312352639569181, 
1.209883213043213, 1.3940428495407104, 1.2003451755252474, 1761312352732278489, 
1.2220300436019897, 1.4251492023468018, 1.2067863661389495, 1761312352842022140, 
1.2326754331588745, 1.4538649320602417, 1.2308456902332645, 1761312352942727597, 
1.242676019668579, 1.4823601245880127, 1.2301381195695955, 1761312353039666144, 
1.2543243169784546, 1.5141252279281616, 1.2331299143822094, 1761312353153098557, 
1.2638710737228394, 1.540132999420166, 1.2345480239690396, 1761312353242383852, 
1.2742528915405273, 1.5692037343978882, 1.2362347913217433, 1761312353342674196, 
1.2841542959213257, 1.5970120429992676, 1.240061972259342, 1761312353439673876, 
1.2957024574279785, 1.6298117637634277, 1.2312494200495614, 1761312353553648782, 
1.3037136793136597, 1.6516170501708984, 1.2214847355727145, 1761312353629473328, 
1.315840721130371, 1.6835355758666992, 1.2182910162943428, 1761312353742660696, 
1.3264198303222656, 1.7112751007080078, 1.2185375293902156, 1761312353839683657, 
1.3383182287216187, 1.7428209781646729, 1.2204896056871402, 1761312353949382709, 
1.3485175371170044, 1.7696300745010376, 1.2106843084556098, 1761312354042913685, 
1.359495759010315, 1.797950267791748, 1.1966211172382486, 1761312354142642199, 
1.370664119720459, 1.8256616592407227, 1.196350633144846, 1761312354240656835, 
1.3810735940933228, 1.8518030643463135, 1.198645337740779, 1761312354332643518, 
1.3935413360595703, 1.8826549053192139, 1.2026815705887721, 1761312354442002680, 
1.404605746269226, 1.9110959768295288, 1.2115614120681653, 1761312354542588146, 
1.4152641296386719, 1.9388729333877563, 1.2188043959186705, 1761312354640084551, 
1.4270323514938354, 1.970595121383667, 1.2273908490230068, 1761312354750709013, 
1.4361670017242432, 1.99712336063385, 1.2374777735174953, 1761312354842610301, 
1.4462194442749023, 2.0261690616607666, 1.251738591452702, 1761312354942895269, 
1.4553749561309814, 2.054650068283081, 1.2654134558654362, 1761312355040049815, 
1.463549256324768, 2.081195592880249, 1.2789914395881332, 1761312355132922556, 
1.4715498685836792, 2.1085095405578613, 1.2917425668025948, 1761312355242304939, 
1.4775034189224243, 2.1284499168395996, 1.2873794874903624, 1761312355343817308, 
1.4835082292556763, 2.1481409072875977, 1.2741752726733888, 1761312355440812088, 
1.490830898284912, 2.1710610389709473, 1.2626329306580601, 1761312355550899641, 
1.4953047037124634, 2.184070587158203, 1.2571681440632172, 1761312355642876881, 
1.498570442199707, 2.1938257217407227, 1.2529205553584384, 1761312355743685216, 
1.5023847818374634, 2.2055954933166504, 1.2510199650600446, 1761312355840659009, 
1.5048109292984009, 2.211965560913086, 1.254176069745124, 1761312355932527903, 
1.505595088005066, 2.214630365371704, 1.2460191387979562, 1761312356042717988, 
1.5070526599884033, 2.219069242477417, 1.236089623470655, 1761312356143922355, 
1.5078774690628052, 2.2212142944335938, 1.245867036341146, 1761312356241581397, 
1.5082316398620605, 2.221949577331543, 1.252251991534847, 1761312356350433499, 
1.5087451934814453, 2.223430633544922, 1.2658194497094246, 1761312356443401790, 
1.5086559057235718, 2.224341630935669, 1.301284982280126, 1761312356544694699, 
1.5090415477752686, 2.225031852722168, 1.3443716997227735, 1761312356641631945, 
1.5095094442367554, 2.2281246185302734, 1.391249339309171, 1761312356734771727, 
1.5098944902420044, 2.231424331665039, 1.447711317354555, 1761312356843757180, 
1.510392189025879, 2.2340030670166016, 1.500164516701791, 1761312356944844204, 
