e, e_dot, e_int, stamp, 
2.7041634653113453, 0.0, 0.4057025971084357, 1761312345888516483, 
2.7041634653113453, 0.0, 0.5868690127824707, 1761312346003514571, 
2.7041634653113453, 0.0, 0.4190534631695245, 1761312346043482508, 
2.703384275288644, -0.00529087341305268, 0.24080461577397697, 1761312346092572703, 
2.7011696624903583, -0.02002495954622763, 0.2681066241070619, 1761312346142674505, 
2.697295038126077, -0.04062661505339833, 0.2700147930406233, 1761312346192555359, 
2.6926118470059297, -0.05708710050126505, 0.26949664447737726, 1761312346242598159, 
2.6882851533939496, -0.06710295673690751, 0.24290312947913015, 1761312346282762349, 
2.6812418697054015, -0.08302250588748367, 0.2418522368250103, 1761312346332593720, 
2.662618388052899, -0.1035764225647361, 0.4277861154556009, 1761312346442540127, 
2.646876482477384, -0.11104639175465521, 0.548907276696594, 1761312346538672569, 
2.631238985999049, -0.10705937960268537, 0.5173782153211933, 1761312346638005014, 
2.6155250063069295, -0.10641858332910147, 0.5168605487973505, 1761312346735106857, 
2.597740418175412, -0.10765269186880805, 0.5425187028551657, 1761312346845482252, 
2.5818242189738654, -0.11069986807889948, 0.5286841510826716, 1761312346938575005, 
2.5646033281309526, -0.11436072624052855, 0.4985947641039721, 1761312347038632026, 
2.5469178534535564, -0.11747255729371801, 0.5081260277519504, 1761312347136717426, 
2.525946141412596, -0.12384401678604497, 0.5289090265642105, 1761312347246387688, 
2.507330421815101, -0.13109716460254903, 0.5098869092296847, 1761312347338514457, 
2.485400947573023, -0.14091853175981062, 0.4799294209089458, 1761312347437882570, 
2.460580925464476, -0.1573642119766032, 0.4921521460944062, 1761312347536608456, 
2.4325500766784387, -0.1689550779776751, 0.5126900394291053, 1761312347646334621, 
2.407448395419403, -0.17575613365430534, 0.4917607935249922, 1761312347738685894, 
2.377423382143701, -0.1869999953143604, 0.4719581903416874, 1761312347842509183, 
2.351995928322225, -0.19059918312744786, 0.46103883235849247, 1761312347932484708, 
2.3200483788900184, -0.1908697147299434, 0.470287798862141, 1761312348042646762, 
2.2898787946066332, -0.1973536542280793, 0.48743403338921526, 1761312348142527548, 
2.2628060586473535, -0.19565379475308428, 0.44650857339029715, 1761312348237551129, 
2.2330688288945004, -0.19426120486916867, 0.4407431996810722, 1761312348337381305, 
2.2001566791423715, -0.19898560971581705, 0.468443886883816, 1761312348447426433, 
2.1730794489276883, -0.19987004072569015, 0.44073512309760504, 1761312348537524256, 
2.142848396512313, -0.19524724363036414, 0.4259205808427264, 1761312348643519921, 
2.116478001685665, -0.1943459535533106, 0.4171161111830033, 1761312348732062406, 
2.0839946269444245, -0.19753893608223083, 0.4202119332676573, 1761312348842254274, 
2.0550839943853507, -0.19425042718841215, 0.43911762582814945, 1761312348942651640, 
