acc_x, acc_y, angular_z, stamp, 
0.017865419387817383, 0.006725788116455078, -3.424044944444107e-11, 1759497032981418838, 
-0.005374133586883545, 0.003138720989227295, -3.6080721899968e-11, 1759497033012622033, 
0.012590289115905762, -0.009349822998046875, -5.677649707054621e-11, 1759497033042114480, 
0.02333122491836548, 0.028573989868164062, -6.764062602636762e-11, 1759497033075842024, 
0.0018718838691711426, -0.01436382532119751, -1.0124196568647133e-10, 1759497033102539952, 
0.009104311466217041, -0.003492295742034912, -1.2451844680378318e-10, 1759497033132558050, 
-0.010665297508239746, 0.005501091480255127, -1.2802213929326558e-10, 1759497033162516923, 
0.00017327070236206055, 0.012755155563354492, -1.207673737933799e-10, 1759497033192490663, 
-0.0071721673011779785, 0.014565348625183105, -9.852939841503099e-11, 1759497033222554317, 
0.007086575031280518, -0.0051035284996032715, -9.72792765812549e-11, 1759497033252551590, 
0.017948627471923828, 0.011224925518035889, -9.807169254604001e-11, 1759497033283429261, 
0.0016270875930786133, 0.0022873282432556152, -8.768207289495513e-11, 1759497033315575548, 
-0.021658778190612793, 0.018489480018615723, -7.986572295480687e-11, 1759497033342688008, 
-0.020025312900543213, -0.004975557327270508, -5.961288697695046e-11, 1759497033372657344, 
0.003437817096710205, -0.004921376705169678, -5.5487195545003046e-11, 1759497033402656628, 
0.008956313133239746, 0.025516390800476074, -7.400486309919901e-11, 1759497033432679287, 
0.027090907096862793, -0.010457217693328857, -7.134566099691016e-11, 1759497033462695983, 
0.019709110260009766, 0.011240482330322266, -6.930689784182291e-11, 1759497033492705796, 
-0.00892728567123413, -0.010003089904785156, -8.718931620404081e-11, 1759497033523535888, 
-2.1457672119140625e-05, 0.008124947547912598, -1.099987943598565e-10, 1759497033555303486, 
0.007147371768951416, 0.0244218111038208, 2.168920738581095e-06, 1759497033582783371, 
-0.0411144495010376, 0.00289076566696167, 1.989762122382521e-06, 1759497033612737483, 
-0.03942430019378662, -0.015187203884124756, 1.9842137376227227e-06, 1759497033642776069, 
-0.023285388946533203, 0.004585206508636475, -9.977373171065004e-11, 1759497033672803673, 
-0.0030042529106140137, 0.006385207176208496, -1.5091485037847462e-10, 1759497033702955870, 
0.013322114944458008, 0.002575516700744629, -1.814165281377672e-10, 1759497033733061089, 
0.004512012004852295, 0.0006951689720153809, -1.5552881244355804e-10, 1759497033763311906, 
0.03676331043243408, -0.03542202711105347, -1.1813449550860823e-10, 1759497033795367232, 
0.024292707443237305, 0.009416937828063965, -1.001269911635565e-10, 1759497033823008875, 
0.024395644664764404, 0.021891653537750244, -3.239291642882729e-11, 1759497033852897390, 
0.018556058406829834, 0.007232725620269775, 1.0985955569979498e-12, 1759497033883012668, 
-0.0300673246383667, -0.008948981761932373, -7.748276408237642e-12, 1759497033912918957, 
0.01446002721786499, -0.030441999435424805, 7.45353539211681e-12, 1759497033942985038, 
0.02127748727798462, 0.0019249916076660156, -1.4818725896248653e-12, 1759497033972906906, 
0.026271820068359375, 0.01808321475982666, -1.0997443855722092e-11, 1759497034002118227, 
0.022192299365997314, 7.450580596923828e-05, 1.484988819074544e-11, 1759497034035958600, 
-0.00693666934967041, -0.003339409828186035, 6.119292698742121e-11, 1759497034063096259, 
-0.043017446994781494, 0.005892038345336914, 1.0481626871185517e-10, 1759497034093032068, 
0.012356340885162354, 0.0004862546920776367, 2.2765794171834982e-10, 1759497034123086062, 
-0.019773542881011963, 0.006157994270324707, 1.6079678285676818e-10, 1759497034153071635, 
-0.016222774982452393, -0.01519078016281128, 2.016481420717963e-10, 1759497034182126652, 
0.005388081073760986, 0.006585359573364258, 2.9798371768961974e-10, 1759497034212103581, 
-0.03024369478225708, 0.004905879497528076, 3.051742244372718e-10, 1759497034243195248, 
0.02223503589630127, -0.012949466705322266, 1.5583400697460275e-10, 1759497034275403188, 
0.009714186191558838, 0.017595291137695312, 1.1828413120050599e-10, 1759497034303289553, 
-0.007981479167938232, -0.00568699836730957, 1.6267424856202227e-10, 1759497034343213989, 
-0.020197510719299316, -0.005566656589508057, -6.465258691656875e-13, 1759497034373154254, 
0.017787694931030273, 0.0016939640045166016, -1.0729582370987506e-10, 1759497034403192728, 
-0.0020865797996520996, 0.005323290824890137, -9.883167642492168e-11, 1759497034435346148, 
0.017649948596954346, -0.0017169713973999023, -7.594176438516284e-11, 1759497034465402435, 
-0.009384453296661377, -0.0034049153327941895, -2.675214683234901e-11, 1759497034493214980, 
-0.009432613849639893, -0.0032957792282104492, -3.316574670446034e-11, 1759497034523400179, 
0.031948208808898926, 0.023759126663208008, -1.5927611115020745e-11, 1759497034553612202, 
0.003136157989501953, 0.004039466381072998, -1.1217262089050675e-11, 1759497034582477381, 
-0.000583648681640625, 0.018567323684692383, 2.3370988513301243e-11, 1759497034613305164, 
-0.005973517894744873, 0.005959928035736084, 2.373761739725285e-11, 1759497034643412815, 
-0.04167407751083374, -0.008559703826904297, 1.7956564582099827e-11, 1759497034675830763, 
-0.023434460163116455, -0.0015279054641723633, -9.552162223092715e-11, 1759497034705486065, 
-0.016183018684387207, 0.010923027992248535, 2.130837236874095e-06, 1759497034733456984, 
-0.02654927968978882, -0.01950925588607788, 1.987967718285214e-06, 1759497034763437517, 
0.004409313201904297, 0.011082768440246582, -2.4461177785704874e-10, 1759497034793373534, 
0.051181018352508545, -0.0016962289810180664, -2.569070122374437e-10, 1759497034823462798, 
