x, y, th, stamp, 
-2.9690730571746826, -0.12965300679206848, 0.15543901479933575, 1759497050275015477, 
-2.9690730571746826, -0.12965300679206848, 0.15543901479933575, 1759497050338346973, 
-2.9690730571746826, -0.12965300679206848, 0.15543901479933575, 1759497050378666861, 
-2.9690730571746826, -0.12965300679206848, 0.15543901479933575, 1759497050435123853, 
-2.969073534011841, -0.12965261936187744, 0.15543449203686957, 1759497050484795596, 
-2.9678637981414795, -0.1294649988412857, 0.15850097904695323, 1759497050534594859, 
-2.9640884399414062, -0.12870845198631287, 0.1672491957128427, 1759497050582940202, 
-2.958097219467163, -0.12724564969539642, 0.18096233063614564, 1759497050632822722, 
-2.9518229961395264, -0.12593384087085724, 0.1931161801049637, 1759497050674902962, 
-2.9428396224975586, -0.12343666702508926, 0.212188030025951, 1759497050724549254, 
-2.9322280883789062, -0.12068785727024078, 0.23567517178918307, 1759497050775781786, 
-2.917710065841675, -0.11623168736696243, 0.26818464352763005, 1759497050834816974, 
-2.9032111167907715, -0.11212913691997528, 0.2997299564451081, 1759497050884103275, 
-2.887042999267578, -0.10705289989709854, 0.33424611940848775, 1759497050935804173, 
-2.8707895278930664, -0.10108985751867294, 0.36782585895382486, 1759497050982746767, 
-2.8534185886383057, -0.0941970944404602, 0.4039967709866987, 1759497051032809341, 
-2.8392136096954346, -0.08801128715276718, 0.4353407551441442, 1759497051074169312, 
-2.822880744934082, -0.08014275878667831, 0.4728514850008406, 1759497051124218711, 
-2.8009510040283203, -0.06861764192581177, 0.5232605042211422, 1759497051192668847, 
-2.787824869155884, -0.0608348548412323, 0.5538247522996859, 1759497051234453531, 
-2.7724435329437256, -0.05119052901864052, 0.5904422765608042, 1759497051284361116, 
-2.756967782974243, -0.04061013460159302, 0.6282401373147548, 1759497051335812259, 
-2.7428131103515625, -0.029864201322197914, 0.6630594121291111, 1759497051383332068, 
-2.7296698093414307, -0.019790025427937508, 0.6981537499730374, 1759497051430076555, 
-2.7161478996276855, -0.008091450668871403, 0.7333156728570012, 1759497051478841871, 
-2.703012704849243, 0.003978560212999582, 0.7703621107930793, 1759497051528337591, 
-2.6900181770324707, 0.01683167554438114, 0.8083349310379662, 1759497051578934496, 
-2.675098419189453, 0.03298766911029816, 0.8525220165518744, 1759497051639032869, 
-2.663038730621338, 0.04695543646812439, 0.889634155646553, 1759497051688988016, 
-2.651669979095459, 0.06120048835873604, 0.9265159337550039, 1759497051738830977, 
-2.6430020332336426, 0.07286082208156586, 0.9564443698850895, 1759497051779098203, 
-2.631686210632324, 0.08924393355846405, 0.9984641990477867, 1759497051833103215, 
-2.623568296432495, 0.1018315777182579, 1.0306614120913795, 1759497051874495859, 
-2.6134912967681885, 0.11898119002580643, 1.0727699454656408, 1759497051928712784, 
-2.6049857139587402, 0.13517068326473236, 1.1087885568290268, 1759497051979937536, 
-2.5956647396087646, 0.1543503701686859, 1.1511282162204985, 1759497052038186844, 
-2.5883846282958984, 0.17114898562431335, 1.1875957747928467, 1759497052088710272, 
-2.581554889678955, 0.18841180205345154, 1.224629639367748, 1759497052139817183, 
-2.5768043994903564, 0.2021983116865158, 1.253003085016526, 1759497052178172984, 
-2.5711047649383545, 0.2196929007768631, 1.292009647899274, 1759497052228835269, 
-2.5663065910339355, 0.2371021956205368, 1.3290049380536537, 1759497052278288059, 
-2.5620133876800537, 0.254945307970047, 1.3680302778841074, 1759497052328277677, 
-2.558546781539917, 0.2727928161621094, 1.4049685547933481, 1759497052379033415, 
-2.5551538467407227, 0.2945086658000946, 1.4502504446288733, 1759497052439047924, 
-2.5531702041625977, 0.31265416741371155, 1.4866593385032998, 1759497052488442556, 
-2.5518007278442383, 0.33065247535705566, 1.5234425783123888, 1759497052538849775, 
-2.551058769226074, 0.3450915813446045, 1.5542368011075236, 1759497052578292814, 
-2.550859212875366, 0.36356261372566223, 1.5921352270356128, 1759497052628922977, 
-2.5514867305755615, 0.38205844163894653, 1.6295516366961627, 1759497052678569251, 
-2.5526719093322754, 0.4004252254962921, 1.6682891978099719, 1759497052728370304, 
-2.555098295211792, 0.4221261143684387, 1.7134400472262643, 1759497052788547882, 
-2.55781888961792, 0.4398970603942871, 1.7491282738866714, 1759497052838288225, 
-2.561316728591919, 0.45809635519981384, 1.7860526326176027, 1759497052888144143, 
-2.565493106842041, 0.47596830129623413, 1.8234323507943804, 1759497052939015091, 
-2.569169759750366, 0.4903189539909363, 1.85356241759608, 1759497052978306400, 
-2.5744035243988037, 0.5078443288803101, 1.8907548371178784, 1759497053028112502, 
-2.5804431438446045, 0.524890661239624, 1.9267163154224038, 1759497053078269459, 
-2.586632013320923, 0.5417342185974121, 1.9653040243624849, 1759497053128376806, 
-2.5938146114349365, 0.5586907267570496, 2.0040533172384145, 1759497053179634680, 
-2.603358268737793, 0.5785822868347168, 2.049033426733685, 1759497053238164943, 
-2.6118295192718506, 0.5946750044822693, 2.087084776538912, 1759497053288693534, 
-2.6209776401519775, 0.610407829284668, 2.1249123187102805, 1759497053339190562, 
-2.628803253173828, 0.6227852702140808, 2.154349728058922, 1759497053378663953, 
-2.638859748840332, 0.6377707123756409, 2.191579056297195, 1759497053428610021, 
-2.64967679977417, 0.6524369120597839, 2.228890165992274, 1759497053478602428, 
-2.6609678268432617, 0.6668403148651123, 2.265601875733752, 1759497053528261479, 
-2.6752028465270996, 0.6834155321121216, 2.309039083508908, 1759497053588961931, 
-2.6874101161956787, 0.6966875195503235, 2.345476952849414, 1759497053638912749, 
-2.7003889083862305, 0.7096847891807556, 2.3818677354122086, 1759497053688925682, 
-2.7138051986694336, 0.7222155928611755, 2.4194663528158182, 1759497053740705309, 
-2.724729299545288, 0.7317578792572021, 2.448977458561617, 1759497053779003637, 
-2.7390024662017822, 0.7431321740150452, 2.48482493438677, 1759497053828952256, 
-2.7534871101379395, 0.7539218664169312, 2.520691852768171, 1759497053878106862, 
-2.7712457180023193, 0.7663292288780212, 2.5654246665611256, 1759497053938189895, 
-2.7865383625030518, 0.7760350108146667, 2.603746845504583, 1759497053988555993, 
-2.802363157272339, 0.7853413224220276, 2.642183635333417, 1759497054039064075, 
-2.818390369415283, 0.7939131259918213, 2.6791556011111437, 1759497054089075904, 
-2.833289623260498, 0.8012058138847351, 2.712832674935357, 1759497054135073346, 
-2.8478503227233887, 0.8078469634056091, 2.745394760670447, 1759497054178913724, 
-2.8650453090667725, 0.8148719668388367, 2.7822115020336633, 1759497054228121848, 
-2.882249355316162, 0.8211872577667236, 2.8209496911821472, 1759497054278150139, 
-2.8995628356933594, 0.8268202543258667, 2.8581726865168084, 1759497054328391376, 
-2.920400857925415, 0.8326250910758972, 2.9022595643855484, 1759497054388623079, 
-2.938401937484741, 0.8367786407470703, 2.938941964384605, 1759497054438866635, 
-2.9560654163360596, 0.8402836918830872, 2.9752325854138078, 1759497054488301425, 
