acc_x, acc_y, angular_z, stamp, 
-0.012409806251525879, 0.006120860576629639, -1.5272137322944177e-06, 1759497049491185191, 
-0.017909467220306396, 0.007932484149932861, -8.884275488526593e-07, 1759497049524676045, 
-0.01679450273513794, -0.0082550048828125, -1.6086179764035575e-06, 1759497049561741495, 
-0.04204922914505005, 0.022483527660369873, -1.9864168860239585e-06, 1759497049591777817, 
-0.02406102418899536, 0.013481855392456055, -9.946340645971297e-07, 1759497049621788129, 
0.004586398601531982, -0.0063988566398620605, -4.890203887793903e-07, 1759497049652349165, 
0.01196366548538208, -0.020628690719604492, -9.362825323295413e-07, 1759497049684231398, 
0.008130311965942383, -0.03484874963760376, -1.0759701431217239e-06, 1759497049711970442, 
-0.013325870037078857, -0.00937354564666748, -9.988028871131628e-07, 1759497049741847824, 
-0.014913320541381836, 0.005191981792449951, -4.970187237140286e-07, 1759497049771886091, 
-0.013003826141357422, -0.017932415008544922, -9.91874187105911e-07, 1759497049801939070, 
0.026415705680847168, -0.014101684093475342, -4.968462451808141e-07, 1759497049831917559, 
0.008174657821655273, 0.006071627140045166, -4.969663138156368e-07, 1759497049861940650, 
0.02618926763534546, 0.029809772968292236, -4.973727550688698e-07, 1759497049891930471, 
-0.0023936033248901367, 0.015592336654663086, -4.6692051231853315e-07, 1759497049923879126, 
0.004855036735534668, 0.004776418209075928, -5.302748270167136e-07, 1759497049952008695, 
-0.015099883079528809, -0.02398616075515747, -4.974039737239225e-07, 1759497049981988377, 
0.009974241256713867, -0.016605138778686523, -6.808452328554493e-07, 1759497050003880891, 
-0.011670887470245361, -0.009243905544281006, -5.467304343139603e-07, 1759497050031168385, 
0.01885366439819336, -0.016352593898773193, -2.9081925457792667e-10, 1759497050062239556, 
0.03337329626083374, 0.009023964405059814, -5.00114045936305e-07, 1759497050092061821, 
-0.024640679359436035, -0.021416664123535156, -4.946072833914258e-07, 1759497050122228944, 
-0.0393596887588501, -0.013990819454193115, -6.333577005057301e-10, 1759497050151205669, 
0.005815088748931885, 0.023950934410095215, -4.944549037481952e-07, 1759497050181371189, 
-0.01579195261001587, -0.008501410484313965, -3.1582524055032613e-10, 1759497050212355337, 
0.016542494297027588, 0.009372889995574951, -4.733247037358542e-07, 1759497050243862262, 
0.007543385028839111, -0.010422348976135254, -3.828492162224055e-10, 1759497050274438286, 
-0.01045006513595581, 0.018307030200958252, -5.351820311753023e-07, 1759497050302298451, 
-0.0013553500175476074, -0.003321409225463867, -3.598131368870683e-10, 1759497050331356067, 
-0.01017838716506958, -0.015815556049346924, -4.981083183146082e-07, 1759497050361284277, 
-0.005086958408355713, -0.005094051361083984, -4.805755084305881e-07, 1759497050392310311, 
0.0002390742301940918, -0.02291947603225708, -3.7539794513307993e-10, 1759497050422393388, 
0.009781062602996826, 0.007548689842224121, 0.0005553709080720582, 1759497050451370847, 
0.01299065351486206, 0.019979119300842285, -0.0007775643975565825, 1759497050484371579, 
1.8683340549468994, 0.22957366704940796, 0.01940246695353779, 1759497050514812475, 
0.6704620122909546, -0.04880553483963013, 0.12097476741623941, 1759497050542333697, 
0.9236682057380676, 0.2366597056388855, 0.18754570685020985, 1759497050572351884, 
1.0071629285812378, 0.4409933090209961, 0.24587923307935614, 1759497050602366463, 
0.941240131855011, -0.16261106729507446, 0.2864053169380439, 1759497050632402538, 
0.3965212106704712, 0.08274281024932861, 0.2800866530629238, 1759497050662494725, 
0.6603370308876038, 0.4161779284477234, 0.32493385099545924, 1759497050692429631, 
0.8023108839988708, -0.0009506940841674805, 0.3956906391783569, 1759497050723139765, 
0.5877123475074768, 0.36599838733673096, 0.4273706147622228, 1759497050754138155, 
0.4276845455169678, -0.23057055473327637, 0.51227245128856, 1759497050782530566, 
0.5276613831520081, 0.37170493602752686, 0.5364182096611808, 1759497050812456278, 
0.7612775564193726, -0.07146430015563965, 0.5998095400661908, 1759497050842569408, 
0.6179957985877991, 0.43775999546051025, 0.6375480700931567, 1759497050872475110, 
