odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
-2.240172831541872, -1.2694375235787585, 0.16012483597785723, 7.433624158560454e-05, -7.117200325961699e-06, 0, 0, 0, 4766576000000, 
-2.2401727948023673, -1.2694374803359352, 0.31490662770633715, 6.73422862661217e-05, -3.879717799941104e-06, 0, 0, 0, 4766712000000, 
-2.240173629031773, -1.269438459549294, -2.2083154233435205, -0.000118334258015354, 6.185209019838514e-06, 0, 0, 0, 4766746000000, 
-2.240173783504245, -1.269438906783885, -2.1290650312211254, -0.0001037578775212079, 4.655576909179359e-06, 0, 0, 0, 4766848000000, 
-2.24017364596216, -1.2694390405464457, -2.0214223489818903, 5.4491971022268415e-05, 7.878094270769887e-06, 0, 0, 0, 4766950000000, 
-2.2401737854615065, -1.2694380275666852, -2.627679236155565, -0.0001752993517198041, -3.091979728093807e-06, 0, 0, 0, 4767052000000, 
-2.2401731256519755, -1.269437528107365, 3.062304232165421, -0.0004142132658263451, 3.258859715895645e-06, 0, 0, 0, 4767154000000, 
-2.2401736755448516, -1.269439009921171, -2.0716810992313293, -0.0003377784634675336, 9.368561107002425e-06, 0, 0, 0, 4767222000000, 
-2.240173652900691, -1.269439258217849, -2.0337192467919896, 0.00045271709276728777, 1.6471667331784056e-05, 0, 0, 0, 4767324000000, 
-2.2401750472987274, -1.269441276873149, -2.125532139401026, 0.0004528823259425379, 1.6895812711074233e-05, 0, 0, 0, 4767426000000, 
-2.240172023612405, -1.2694364637921984, 0.9982703083809402, 0.00043706963032559174, 1.1398532039665718e-06, 0, 0, 0, 4767528000000, 
-2.240173371878422, -1.269440001050285, -1.8210230547247854, -0.00045890662062084494, 4.9085588512727995e-06, 0, 0, 0, 4767630000000, 
-2.240171664369425, -1.2694378302885694, -0.18121008177100098, 0.00047817172657914196, 1.3426550402363042e-06, 0, 0, 0, 4767732000000, 
-2.2401738034250247, -1.269439690671302, -2.041028782026656, 0.00015375402274447737, 1.0940766696109217e-05, 0, 0, 0, 4767834000000, 
-2.2401723289061746, -1.2694372380040582, 0.7673571091833649, 0.00011329743617725398, 4.711012378436406e-06, 0, 0, 0, 4767936000000, 
-2.240176540974305, -1.2694408523639924, -2.4451750299371544, 0.00044195711517315615, 1.1506391831942468e-05, 0, 0, 0, 4768038000000, 
-2.240169841602357, -1.2694399934797609, -0.6775393997503615, 0.000473454347543713, 1.0276816278038873e-05, 0, 0, 0, 4768140000000, 
-2.2401685566907865, -1.2694406245654182, -0.6133428678127816, -0.00013724133997436119, 1.5814819770125447e-05, 0, 0, 0, 4768242000000, 
-2.240176088003381, -1.269436708621872, 2.8469784480648483, 0.0005258304709121957, 1.3952595182884222e-05, 0, 0, 0, 4768344000000, 
-2.240173969624509, -1.269435865530156, 2.1850170034863776, -0.0005265637715048404, 6.622338468190345e-06, 0, 0, 0, 4768446000000, 
-2.2401740117974094, -1.2694414929428208, -1.9303969139908947, 9.9877108468977e-05, 1.3780203750607332e-05, 0, 0, 0, 4768548000000, 
-2.2401754433079217, -1.2694367449819508, 2.785529211069469, -0.0002491243702698217, 1.1151782053183162e-05, 0, 0, 0, 4768650000000, 
-2.2401683885739834, -1.269440642377052, -0.5925410632149413, 6.590982679719688e-05, 1.2803354174362372e-05, 0, 0, 0, 4768752000000, 
-2.240175144056355, -1.2694379232299238, -3.1177766863483636, 0.0005667831269988685, 1.1137024259780664e-05, 0, 0, 0, 4768854000000, 
-2.240169090605691, -1.2694398862164127, -0.5316866644823709, 0.00022543259975096115, 9.400813005779137e-06, 0, 0, 0, 4768922000000, 
-2.240176355653707, -1.2694372134801422, 2.9684561636331184, 2.2619570352342833e-05, 8.68209087760272e-06, 0, 0, 0, 4769024000000, 
-2.2401707527022037, -1.269439647520261, -0.7860898388303077, -0.00019822105749311836, 1.268318698704975e-05, 0, 0, 0, 4769126000000, 
-2.2401701947994104, -1.269439809083434, -0.6930158803343262, 0.00025484214701435585, 6.984270961633786e-06, 0, 0, 0, 4769228000000, 
-2.2401720096722517, -1.2694382576811778, -0.626587160025788, 0.0007085276837893481, 3.2784500221921297e-06, 0, 0, 0, 4769330000000, 
-2.2401729867699447, -1.2694379823418043, -3.113155934834615, -0.00041222854381839385, -2.0751387264447752e-06, 0, 0, 0, 4769432000000, 
-2.2401710307545377, -1.2694404844003575, -1.063540903129767, 0.000247007264221563, -1.1799224239659943e-06, 0, 0, 0, 4769534000000, 
-2.240174121109146, -1.2694374110400954, 2.8184099188030065, 0.00011247375268813757, 4.086279196005099e-06, 0, 0, 0, 4769636000000, 
-2.2401736516130804, -1.2694374965988227, 2.764145509866909, -9.582287912525674e-05, 1.2904468277788359e-06, 0, 0, 0, 4769738000000, 
-2.2401744960600865, -1.2694378394595658, 3.068549160110064, -0.00011015083880929017, 5.41069620644704e-07, 0, 0, 0, 4769840000000, 
-2.240174309040781, -1.2694384213077874, -2.9216450638295166, 0.00012034178268477302, 2.7217365067920247e-06, 0, 0, 0, 4769942000000, 
