e, e_dot, e_int, stamp, 
0.7854452193272572, 1.3739792221787071e-05, 0.12568407032536538, 1761315846336225521, 
0.784331286988942, -0.007253253200253972, 0.12644828315592527, 1761315846387321040, 
0.7789951530026225, -0.05191691330087778, 0.07119310886508662, 1761315846427157871, 
0.7701034382107741, -0.10250491222503914, 0.07083260334158208, 1761315846478387762, 
0.762140678169998, -0.11224541599691423, 0.0770643466420706, 1761315846527187774, 
0.7486187366902161, -0.14430875582479583, 0.07521279296708581, 1761315846577314525, 
0.7326393629202477, -0.1956226057857555, 0.07516652378954562, 1761315846627704710, 
0.7105048585781908, -0.22875153306741094, 0.0806219934926876, 1761315846687666778, 
0.6913013012545101, -0.2523088246513104, 0.07789534568261093, 1761315846737187962, 
0.6713683484488888, -0.2622305232798996, 0.06875346158540847, 1761315846787156900, 
0.6568909859923302, -0.2530192637403566, 0.06069922916222846, 1761315846827354944, 
0.6207275213081028, -0.24203347604779926, 0.09031537329766005, 1761315846926175857, 
0.5878218307568498, -0.23052928263308972, 0.12428229991789064, 1761315847027225662, 
0.5594459537122782, -0.19532711434919836, 0.12378560377021953, 1761315847136219860, 
0.5408589929411214, -0.154906364853154, 0.11250750887188583, 1761315847227164749, 
0.522081654628447, -0.13131868594791604, 0.10274679692887911, 1761315847326211808, 
0.5043975193208499, -0.12130174821397645, 0.1047454092676799, 1761315847427655131, 
0.4864365953405206, -0.11264256937592688, 0.10652303264845113, 1761315847537439098, 
0.47316209414698757, -0.10364268861568078, 0.0975446521965657, 1761315847627542231, 
0.46217491132814564, -0.085854838587328, 0.08993673978335746, 1761315847727209269, 
0.4468137099536481, -0.08804988801708928, 0.09190054636222268, 1761315847827015151, 
0.4275445401075364, -0.10933071411369455, 0.09377850862524195, 1761315847937705749, 
0.4137902080531657, -0.10867698550267609, 0.0863959629372973, 1761315848028224792, 
0.398124161300103, -0.10563964769382934, 0.07663261391190924, 1761315848123188172, 
0.3777479434311194, -0.12007495071636276, 0.07904119102707383, 1761315848227544860, 
0.35719087231434943, -0.1274348906092282, 0.0809228494530057, 1761315848337446826, 
0.3409265892875414, -0.1227338907834205, 0.07161112012232726, 1761315848427229095, 
0.3248802246243969, -0.11335988169517891, 0.06504528541227284, 1761315848528195895, 
0.3092922994370514, -0.10468951744191562, 0.06547543228500018, 1761315848628671486, 
0.2991314746767776, -0.08288397887731687, 0.06506226561148483, 1761315848737331179, 
0.2902233163093918, -0.06421573006219579, 0.059465588296221866, 1761315848827188531, 
0.2838701737143523, -0.05421794291021059, 0.0552692631704556, 1761315848927210988, 
0.27838625788285953, -0.03919160897750828, 0.057249164902085536, 1761315849028656654, 
0.274162320317873, -0.03098512439730486, 0.05855951053028554, 1761315849137247565, 
0.27052260410719065, -0.026445785996695687, 0.05448582086380218, 1761315849227251218, 
0.26739517830392756, -0.023907553198931304, 0.051425155764723215, 1761315849327223242, 
0.2643067337274949, -0.021097674660561793, 0.05253386577544548, 1761315849423706941, 
0.25946988872426513, -0.024796827386543503, 0.055543637925466696, 1761315849537836049, 
0.2555395086300418, -0.02878284520262109, 0.05286901492954052, 1761315849627227744, 
0.2479996266794039, -0.039788205408270445, 0.04816995684840687, 1761315849727230756, 
0.24028577030571008, -0.0484591632127974, 0.05212501096842749, 1761315849837458716, 
0.23277561399203917, -0.05467943469115777, 0.045685107075277016, 1761315849917305270, 
0.2248006787024842, -0.055527767577139675, 0.04415287644927347, 1761315850027265035, 
0.21551780305907187, -0.05512049538666347, 0.04710591838569867, 1761315850127257721, 
0.20698996594924268, -0.06025135225309963, 0.042504375781837654, 1761315850224254782, 
0.20009183242709438, -0.05397482882870173, 0.03947438243680134, 1761315850317465275, 
0.19100515706845766, -0.05225021638833182, 0.04047579946288543, 1761315850427281110, 
0.18562624771339253, -0.04551664662934054, 0.0403294439517035, 1761315850527251051, 
