x, y, theta, stamp, 
-4.123887720197672e-06, 4.766790880239569e-06, -4.69683624793657e-05, 1761315846176208564, 
-4.123887720197672e-06, 4.766790880239569e-06, -4.696835978044031e-05, 1761315846226255279, 
-4.563476977637038e-06, 5.274937393551227e-06, -5.197513874427997e-05, 1761315846336225521, 
0.0001619873073650524, -6.030105214449577e-05, 0.0011780262390084476, 1761315846387321040, 
0.002665069419890642, 1.223649269377347e-05, 0.007731204068836023, 1761315846427157871, 
0.007771233096718788, 0.00022628801525570452, 0.019082325393841526, 1761315846478387762, 
0.014898747205734253, 0.00015103226178325713, 0.030687114159937728, 1761315846527187774, 
0.023196300491690636, 0.0007755976403132081, 0.04812528801369034, 1761315846577314525, 
0.033650580793619156, 0.001339002512395382, 0.06920078280123845, 1761315846627704710, 
0.048511236906051636, 0.002626995090395212, 0.09843307922266277, 1761315846687666778, 
0.06342160701751709, 0.004448339343070984, 0.12460980006987508, 1761315846737187962, 
0.07963559776544571, 0.0064170947298407555, 0.1522664040940095, 1761315846787156900, 
0.09246166795492172, 0.00848036352545023, 0.17270099573590517, 1761315846827354944, 
0.12333238869905472, 0.01455218717455864, 0.2230218653487874, 1761315846926175857, 
0.15268239378929138, 0.02178213559091091, 0.269158946709096, 1761315847027225662, 
0.18527935445308685, 0.03142048791050911, 0.31201668727001614, 1761315847136219860, 
0.2115006297826767, 0.040113989263772964, 0.3422526566116235, 1761315847227164749, 
0.24026229977607727, 0.050885334610939026, 0.3736872847516734, 1761315847326211808, 
0.2688129246234894, 0.06231176480650902, 0.4041116025695407, 1761315847427655131, 
0.2998466491699219, 0.07585477083921432, 0.43599795424804805, 1761315847537439098, 
0.3246568441390991, 0.08769106864929199, 0.46039780123559043, 1761315847627542231, 
0.35214316844940186, 0.10154673457145691, 0.4838873411423789, 1761315847727209269, 
0.37948185205459595, 0.11620796471834183, 0.5118427653328617, 1761315847827015151, 
0.4085715711116791, 0.13295137882232666, 0.5446290709557987, 1761315847937705749, 
0.4322107434272766, 0.14747139811515808, 0.5694609640883461, 1761315848028224792, 
0.4567384123802185, 0.16352251172065735, 0.5966741983299735, 1761315848123188172, 
0.4826423227787018, 0.18168328702449799, 0.6292727006305437, 1761315848227544860, 
