x,y,theta,stamp_ns
0.0,0.0,-9.220339382129627e-14,1761334158563145074
0.0,0.0,-9.220339382129627e-14,1761334158613370639
0.0,0.0,-9.220339382129627e-14,1761334158662870678
0.0,0.0,-9.220339382129627e-14,1761334158712873478
0.0,0.0,-9.220339382129627e-14,1761334158752918206
0.0001061190414475277,-0.0001022357537294738,0.0011122133360380172,1761334158804051189
0.002027760725468397,-0.00018731859745457768,0.01221956928998467,1761334158853664549
0.0065353913232684135,0.0002857713552657515,0.024871156718367236,1761334158903419466
0.014082623645663261,0.0010647252202033997,0.042879232854294694,1761334158962399571
0.022193964570760727,0.0019880840554833412,0.060518503335547875,1761334159012342088
0.03282717987895012,0.002870640018954873,0.08423453262408159,1761334159062930201
0.044761355966329575,0.004142409190535545,0.11062897046900977,1761334159111872287
0.05589501932263374,0.005469258408993483,0.13621462899611977,1761334159152874628
0.08505814522504807,0.010391494259238243,0.20105984961382992,1761334159253329107
0.11506017297506332,0.017428064718842506,0.2698930896662071,1761334159363337953
0.1408006101846695,0.025372769683599472,0.32779473226804223,1761334159462877520
0.16460798680782318,0.034201838076114655,0.3844249913610107,1761334159552854657
0.18947520852088928,0.045293137431144714,0.4411515163720647,1761334159652889353
0.21345901489257812,0.05763329565525055,0.4963865196078462,1761334159753296855
0.23915310204029083,0.07270858436822891,0.5565667684133112,1761334159861884641
0.25923147797584534,0.08614658564329147,0.6024801118592008,1761334159953883347
0.27945202589035034,0.10121530294418335,0.6436701145070259,1761334160055415315
0.301265686750412,0.11891872435808182,0.6891207102387056,1761334160164419441
0.3198373317718506,0.13532331585884094,0.7259868206096926,1761334160260887092
0.3361869752407074,0.15089762210845947,0.7562372673868575,1761334160352891604
0.35614722967147827,0.17111290991306305,0.7900504390037983,1761334160470753804
0.3706977367401123,0.1867399513721466,0.8136863782901412,1761334160562954126
0.385647177696228,0.20324741303920746,0.8328603693965831,1761334160660894100
0.3991655707359314,0.21875938773155212,0.848217710063257,1761334160752893933
0.41360607743263245,0.23551422357559204,0.8623806436622766,1761334160851903898
0.42884567379951477,0.2538210153579712,0.8778849344575037,1761334160962890840
0.44224029779434204,0.27049189805984497,0.888816562905298,1761334161063899449
0.4535079300403595,0.2848578989505768,0.8981242621032353,1761334161153040201
0.46585068106651306,0.3006468415260315,0.9038507663492781,1761334161253282933
0.4790111482143402,0.3177299499511719,0.9100845221485419,1761334161363472313
0.49082866311073303,0.333139032125473,0.9146912005582489,1761334161463035197
0.5011934638023376,0.3466111123561859,0.9190505306395346,1761334161553171480
0.5124314427375793,0.3615366518497467,0.9215502221670858,1761334161655414522
0.5228356122970581,0.37544959783554077,0.9246879690410994,1761334161749388557
0.5348098278045654,0.39154064655303955,0.9262559072309253,1761334161863473461
0.5439968705177307,0.40389135479927063,0.9264745471017161,1761334161953132058
0.5539186000823975,0.4173324406147003,0.9265795624815992,1761334162053418749
0.564608633518219,0.43160176277160645,0.9265795624815992,1761334162163082066
0.5740670561790466,0.44455450773239136,0.9252897255900351,1761334162262916007
0.5827422142028809,0.4558911621570587,0.9252080139092599,1761334162352930180
0.5921301245689392,0.4685865640640259,0.92327119946126,1761334162453276670
0.6020100712776184,0.4817545413970947,0.9236014490962312,1761334162564337448
0.611051619052887,0.49394920468330383,0.9228301303788601,1761334162662964076
0.6191885471343994,0.5047237277030945,0.9220055734159275,1761334162752933142
