e,e_dot,e_int,stamp_ns
0.7853981633975404,0.0,0.0783243062253104,1761334158662870678
0.7853981633975404,0.0,0.07814934700344116,1761334158712873478
0.7853981633975404,0.0,0.0707231631096886,1761334158752918206
0.7843901276608977,-0.006571334048988595,0.07158016996516728,1761334158804051189
0.7742871534348823,-0.07444938293216145,0.07871900958293385,1761334158853664549
0.7636625002787002,-0.13905796969503356,0.0769223008945796,1761334158903419466
0.7490774585858272,-0.153609081700791,0.08289331445682427,1761334158962399571
0.7351058937830962,-0.17568013315324357,0.08161375470740159,1761334159012342088
0.7164129229072722,-0.21642200835220482,0.07374244330972311,1761334159062930201
0.695584711580572,-0.26502721093299453,0.07123388048080294,1761334159111872287
0.6751886228092783,-0.3076685672911322,0.06257692398495474,1761334159152874628
0.623522592664788,-0.3372533298696696,0.09403558666003368,1761334159253329107
0.5677367699689204,-0.34047529155145195,0.13093961631862752,1761334159363337953
0.5204642067044355,-0.3273384493039703,0.11956298581650115,1761334159462877520
0.4732470562482881,-0.3332268664135803,0.09864016155553114,1761334159552854657
0.42574457080667266,-0.3332094702230595,0.08990446827838874,1761334159652889353
0.3788983526469182,-0.31380701113573517,0.08538102544454,1761334159753296855
0.32711024449878734,-0.3144949385969758,0.07884369309370654,1761334159861884641
0.28714589247527433,-0.3037750399929599,0.06640445836237426,1761334159953883347
0.2513547710494545,-0.2623040337714531,0.055840754150514364,1761334160055415315
0.21119188103043718,-0.24032126481929403,0.052612446677188535,1761334160164419441
0.17828716301606562,-0.2365162702412269,0.043891087583151925,1761334160260887092
0.15102573846265743,-0.2124670590672085,0.033956701823782,1761334160352891604
0.12033234425341655,-0.18557430844243247,0.031455189762745396,1761334160470753804
0.09854876351801345,-0.1655604110258597,0.025901188341666204,1761334160562954126
0.08108522227617232,-0.13819074142796212,0.019011895595094933,1761334160660894100
0.06697940825261661,-0.11054432002144692,0.0156139001562882,1761334160752893933
0.05409560475404207,-0.09448355833312556,0.01287152856833534,1761334160851903898
0.03960246776289034,-0.08690349826832185,0.01124725799538576,1761334160962890840
0.029219146605354962,-0.0777935204836497,0.00868596786507235,1761334161063899449
0.02016196080197208,-0.06813394772595532,0.0056400566527041,1761334161153040201
0.014685807133589579,-0.05207812670027089,0.004044405161629683,1761334161253282933
0.008556472875417831,-0.03675146283427247,0.003044548687870336,1761334161363472313
0.003998078202063993,-0.03380317666042144,0.0019045756023144057,1761334161463035197
-0.00028544485312509416,-0.031102271765970007,0.0007758130768649955,1761334161553171480
-0.0029398777015480215,-0.024494909727642216,4.95540699449983e-05,1761334161655414522
-0.006300674024866004,-0.020575007034401842,-0.0006230544014497214,1761334161749388557
-0.008200138835385506,-0.017470867616732295,-0.0012095638579051082,1761334161863473461
-0.008689266302192022,-0.00736833867313906,-0.0015749426390077978,1761334161953132058
-0.009184203277880165,-0.0034635550179227745,-0.0016508530198911118,1761334162053418749
-0.009444084580874534,-0.002435010543837937,-0.0019117735715437323,1761334162163082066
-0.008679751737856511,0.001762077089359637,-0.0019069864722818248,1761334162262916007
-0.008619036501947175,0.002776849829769504,-0.0016923613226492071,1761334162352930180
-0.0070941454755206745,0.005290254755539688,-0.0015478183448547327,1761334162453276670
-0.007699643895813568,0.003248100415553394,-0.0016498805180100462,1761334162564337448
-0.007330218602080052,-0.0005687534134116331,-0.0015463752807561868,1761334162662964076
-0.0066888194628698106,0.003624934241041013,-0.0013653499657184866,1761334162752933142
-0.006354735721394444,0.003490070619395777,-0.001290074656753595,1761334162852925151
-0.005803928343709686,0.0029385637966023743,-0.0012602915558452856,1761334162953536828
-0.0036122199985302306,0.008503658063136766,-0.0011039517963455658,1761334163062923232
-0.005467024927058528,-0.00013345905422752422,-0.0009929291782131465,1761334163153681480
-0.0045328104907133016,-0.0035427591165752993,-0.0008439645280149787,1761334163248926999
-0.004658087696765678,0.0028545753002957503,-0.0009571090831708547,1761334163349570572
-0.005377359526078096,-0.002530284576016302,-0.001039126968552974,1761334163462911469
-0.005453719237527355,-0.0023981384157883315,-0.0010499253006719168,1761334163552924052
-0.005633399628622193,-0.0008811353608377961,-0.0010433453573524692,1761334163653019895
-0.005954319306955891,-0.0016688715755520595,-0.0011362273926658905,1761334163752947204
-0.0053876872051824565,0.0006467443544523723,-0.001187799038725354,1761334163862935174
-0.004530833365667952,0.004855412048670196,-0.0010634935626709465,1761334163953949716
-0.003978413109024803,0.0049969915543788416,-0.0008804943062574425,1761334164053011847
-0.0032219243334339343,0.004155454701971133,-0.0008167222346744509,1761334164162809236
-0.0033950371398666634,0.001720352416452145,-0.0007414354267482285,1761334164262943668
-0.002578417954393508,0.0024490640393577245,-0.0005827116265158086,1761334164352919377
-0.0034844333629158175,6.022370548709975e-06,-0.0005990004661082918,1761334164452943942
-0.005007198530510681,-0.00762227220856487,-0.0007760062397430244,1761334164563218224
-0.00573275941098661,-0.0070280576236557485,-0.0009957255321492945,1761334164662947768
-0.005542392130928775,-0.0017200695932566793,-0.0010297742995075735,1761334164752952684
-0.00606616274194971,-0.0010392081696433085,-0.0010988645592959845,1761334164853048335
-0.006272286058194632,-0.002427998975271258,-0.0011955135431959355,1761334164953532771
-0.006413853224122024,-0.001115034660690326,-0.0013120574675918805,1761334165062951759
-0.00610507568343388,0.000712335330571494,-0.001249116168135163,1761334165152953006
-0.008930598179874516,-0.008265757390895176,-0.0013591663577185902,1761334165253049147
-0.0072584542448107525,-0.004381603137930473,-0.0015677002593757557,1761334165363909934
-0.006156094882040497,0.008726639833998382,-0.0015656685195334186,1761334165463251635
-0.0060020734959106425,0.004271129206154313,-0.0012236278428150657,1761334165552968742
-0.007586780636889112,-0.004710828602082451,-0.0012485618665908716,1761334165652955118
-0.006995377335946573,-0.003514647402010941,-0.001450918472994882,1761334165764429414
-0.007275122424458824,0.0008220822545218481,-0.001530077640381452,1761334165862964453
-0.0068158290016426815,0.0007531973002222097,-0.0013257446312722983,1761334165953046121
-0.006706053162573444,0.0020621419149138057,-0.0013240611374803685,1761334166053962315
-0.007101805132244121,-0.000984512291482004,-0.0013669544173390356,1761334166151888510
-0.007417527505948707,-0.0023031532883596383,-0.0014716669426587062,1761334166261967996
-0.008070928978521352,-0.003323424211385248,-0.0015216808508114598,1761334166353968620
-0.007081294780469705,0.0008980017469641114,-0.0014521635559956681,1761334166454991420
-0.006647091251728243,0.004599905366645231,-0.0015221510567871369,1761334166563445531
-0.005194746251351634,0.006298367254758072,-0.0012992771046319354,1761334166660973773
-0.005611977432696591,0.0034563606148296897,-0.0011041632521029674,1761334166753231533
-0.006079789214678777,-0.003070871192163777,-0.0010807421560277662,1761334166852974720
-0.007622233879311602,-0.0062256767839395126,-0.0013521168443718186,1761334166963252783
-0.004620947380287843,0.005574439099221877,-0.0012704379139329691,1761334167060982136
-0.005165270847725334,0.008264471952724785,-0.0011009458736362665,1761334167152978877
-0.004255174954559293,0.001059933240624202,-0.0008988597986237699,1761334167253027139
-0.00738535367483828,-0.006459454178490376,-0.0011762703237910236,1761334167362954664
-0.0045971273220253295,-0.0003823669300394098,-0.0011472247464354693,1761334167464983486
-0.00456487559739549,0.009231241084020347,-0.0010489596319675461,1761334167553128779
-0.006613089985692877,-0.006712035974880741,-0.0009888272038872327,1761334167653031926
-0.004150697601997044,0.0015762212882340758,-0.0010091286746635676,1761334167750627151
-0.005858836293639147,0.0034077152196828726,-0.001171418939390111,1761334167864446011
-0.0033596428932275435,0.004375649487323712,-0.0009030841843693824,1761334167953276319
-0.004951151116085684,0.004058081502420454,-0.0008905493431582618,1761334168052993487
-0.005157227551314536,-0.006031821194631339,-0.0008809397257442888,1761334168149505525
-0.002832929318171251,0.006093942479223271,-0.0009074142246600466,1761334168263346465
-0.004397888106240311,0.0010015680965792622,-0.0008412194314288843,1761334168353222762
-0.003211407506726549,-0.0018357037411122587,-0.0006597277939173097,1761334168452883024
-0.0031401625234727115,0.004202063714502452,-0.0007212977385798314,1761334168554525301
-0.00607186697091866,-0.008772336963288201,-0.0008702691621556174,1761334168663034811
-0.0037706905867105345,-0.0004909760607741225,-0.0008594243742216549,1761334168753117977
-0.003187068514508229,0.010460237654514091,-0.0008256102253729146,1761334168853127041
-0.004805876955888189,-0.0029743158587497765,-0.000822256766259,1761334168962812521
-0.004824568750564251,-0.004981678267219845,-0.0008970798587151088,1761334169063092837
-0.003187278269390803,0.006008367092370237,-0.0008125776460642394,1761334169152997061
-0.002674199947839462,0.007850982948116723,-0.0006623930939119347,1761334169249053023
-0.003196623397672127,4.5761940137263535e-05,-0.0005931292643439924,1761334169349438641
-0.003608052629375802,-0.0029865744110016356,-0.0006633245999693851,1761334169458990763
-0.003461441626139816,-0.0007679948441918338,-0.0007205227827172928,1761334169559992272
-0.005504469110896859,-0.007164773698514663,-0.000796511314473761,1761334169649029009
-0.0064641615947637066,-0.01084616805252884,-0.0009725148257835253,1761334169749073983
-0.005978233332339822,-0.0017757447800906725,-0.0012800233701911318,1761334169862997873
-0.005868675131754708,0.001823017932395714,-0.00125091132086982,1761334169954017438
-0.006241031919771656,-0.0008524814963009648,-0.0011456966796898763,1761334170053018957
-0.005881458430854747,-0.00016964627592005476,-0.001256774340047302,1761334170163582684
