x, y, theta, stamp, 
-2.1042264819470802e-08, 2.389382736112111e-08, -2.3830758779320843e-07, 1761317278200328141, 
-2.1042264819470802e-08, 2.389382736112111e-08, -2.3830703118948307e-07, 1761317278251372949, 
-2.1042264819470802e-08, 2.389382736112111e-08, -2.383040068709915e-07, 1761317278307703493, 
-2.1042264819470802e-08, 2.389382736112111e-08, -2.3830036888555124e-07, 1761317278366090956, 
0.0012832223437726498, 6.0313555877655745e-05, 0.0005943797626924072, 1761317278396014177, 
0.0073060812428593636, 0.0004204076249152422, 0.008544791245518437, 1761317278466519096, 
0.012911384925246239, 0.0005262898630462587, 0.014221791165686346, 1761317278506250185, 
0.021144924685359, 0.000802131777163595, 0.021838821900873842, 1761317278555270858, 
0.031360022723674774, 0.0010219765827059746, 0.031354884805627696, 1761317278605245028, 
0.04281802475452423, 0.0016529763815924525, 0.04376040874544597, 1761317278651245220, 
0.05725657194852829, 0.0022173295728862286, 0.06013037452623106, 1761317278702279051, 
0.07649856805801392, 0.003888496197760105, 0.08421610289031652, 1761317278761714264, 
0.09251422435045242, 0.0055474345572292805, 0.10734855758887848, 1761317278811731806, 
0.12211130559444427, 0.009701174683868885, 0.1635254318873813, 1761317278910270306, 
0.1492500901222229, 0.014822243712842464, 0.22996362385141486, 1761317279001271302, 
0.1791364699602127, 0.022638695314526558, 0.30624892647257285, 1761317279102287177, 
0.20766623318195343, 0.03271064907312393, 0.38798930936113446, 1761317279200585703, 
0.2379177212715149, 0.04665180668234825, 0.48983689722230056, 1761317279309255619, 
0.2625187635421753, 0.06097901985049248, 0.5757102070086912, 1761317279401278966, 
0.287592351436615, 0.0784778743982315, 0.6654960243330839, 1761317279502281809, 
0.3137802481651306, 0.1005610004067421, 0.744690817516355, 1761317279611868203, 
0.3346564769744873, 0.1209789514541626, 0.8059753878871951, 1761317279709374249, 
0.3531937301158905, 0.1418197751045227, 0.8520962100730778, 1761317279801284144, 
0.37383759021759033, 0.16695833206176758, 0.8864550174976098, 1761317279906371899, 
0.39436349272727966, 0.1929616630077362, 0.906994480483526, 1761317280016783425, 
0.4113480746746063, 0.2151477187871933, 0.9135486076307004, 1761317280106365975, 
0.4303951859474182, 0.23892585933208466, 0.8999571487106962, 1761317280206278287, 
0.4485536813735962, 0.26107969880104065, 0.8881953907371942, 1761317280301328406, 
0.4674340486526489, 0.2842019200325012, 0.8892246215368417, 1761317280399926595, 
0.4887169897556305, 0.3102355897426605, 0.8888581512999134, 1761317280512310958, 
0.5071136355400085, 0.33215421438217163, 0.8794537851348123, 1761317280606297194, 
0.5264131426811218, 0.35534289479255676, 0.879955073870177, 1761317280706362342, 
0.5435448884963989, 0.3762631416320801, 0.8915208456652965, 1761317280796667953, 
0.5635362267494202, 0.40153732895851135, 0.9016468741613082, 1761317280907282240, 
0.5809646248817444, 0.42417073249816895, 0.9108539393359089, 1761317281006302267, 
0.5980560779571533, 0.44721800088882446, 0.9277135686279243, 1761317281106376518, 
0.6131250858306885, 0.46758055686950684, 0.9338476855316307, 1761317281196363463, 
0.6311100125312805, 0.49200180172920227, 0.9384470461162204, 1761317281307567576, 
0.6470232605934143, 0.5138017535209656, 0.9483569550212431, 1761317281406355547, 
0.6626067757606506, 0.5358536839485168, 0.9483569550212431, 1761317281506388910, 
0.6803505420684814, 0.5599754452705383, 0.9322052015029492, 1761317281616934002, 
0.6949048042297363, 0.5787114500999451, 0.9116261946635196, 1761317281707293738, 
