e, e_dot, e_int, stamp, 
0.783735391010155, -2.153091874030322e-11, 0.08415386348480945, 1761317278307703493, 
0.783735391006517, -3.8665676647027046e-11, 0.08990856207202724, 1761317278366090956, 
0.7892959044049894, 0.06194201037167723, 0.06937589270210348, 1761317278396014177, 
0.8109842038350371, 0.16448000697321305, 0.07980741410683392, 1761317278466519096, 
0.829056146174182, 0.25415681527750467, 0.08926677692543157, 1761317278506250185, 
0.8639300012185992, 0.3887558802001381, 0.07407726022240924, 1761317278555270858, 
0.896827446125218, 0.45656671824153, 0.0854593966965267, 1761317278605245028, 
0.946917377496076, 0.5823986589172072, 0.0866224546058235, 1761317278651245220, 
0.9906870585379618, 0.6488557050728619, 0.09167877614845817, 1761317278702279051, 
1.0474885001939842, 0.60444893106887, 0.10992012097208752, 1761317278761714264, 
1.082035155987435, 0.5487924928120459, 0.11383855296885176, 1761317278811731806, 
1.114168688206758, 0.33893069549841054, 0.16062336538266953, 1761317278910270306, 
1.1546628721523742, 0.25702915151858857, 0.21170719619316783, 1761317279001271302, 
1.1457101285027371, 0.11878635532879421, 0.21854987033143722, 1761317279102287177, 
1.1158058825044528, -0.13094858579830437, 0.22696454926859913, 1761317279200585703, 
1.069933424112779, -0.24211507556736622, 0.22983496639618672, 1761317279309255619, 
1.0081146034454205, -0.36463326371282134, 0.21366165425192743, 1761317279401278966, 
0.8934787734353815, -0.6022498319570103, 0.19119416562622635, 1761317279502281809, 
0.8450162124187491, -0.5257359404313728, 0.19280213924915862, 1761317279611868203, 
0.7883886810968326, -0.3409969104296553, 0.17443283472834076, 1761317279709374249, 
0.7351141418872265, -0.3867993192880072, 0.1495450872890784, 1761317279801284144, 
0.6528705434303681, -0.45408568718422976, 0.1429134795687437, 1761317279906371899, 
0.633667173934141, -0.3188478965984087, 0.14522150736702072, 1761317280016783425, 
0.6096887348731896, -0.147198014375209, 0.1264113524006789, 1761317280106365975, 
0.564100542190518, -0.2413168894843749, 0.11416790358428235, 1761317280206278287, 
0.5621037188794265, -0.15909671364919317, 0.11281130614831553, 1761317280301328406, 
0.5496134475295079, -0.04922887209149235, 0.10817308792890701, 1761317280399926595, 
0.49726275161563516, -0.19749894446254745, 0.11315556307385814, 1761317280512310958, 
0.489648521965546, -0.18227754409839125, 0.10569784235797362, 1761317280606297194, 
0.4742455863045999, -0.07831446018153339, 0.09451317030064331, 1761317280706362342, 
0.43523215845483043, -0.19531487365679756, 0.08878424311109005, 1761317280796667953, 
0.3541432645893712, -0.38836449601192946, 0.08462886810300607, 1761317280907282240, 
0.30885648717175196, -0.3968092064975774, 0.07674236437034367, 1761317281006302267, 
0.20181509589014412, -0.5089897956723923, 0.057393229232269694, 1761317281106376518, 
0.1421406401015859, -0.577588470405175, 0.041358090632623426, 1761317281196363463, 
0.08236336734492511, -0.40023040726710346, 0.02859053048197099, 1761317281307567576, 
0.006515657500969829, -0.43510945643353693, 0.016170766962434416, 1761317281406355547, 
-0.07008277973092758, -0.5111705838048585, 0.0012456981759829313, 1761317281506388910, 
-0.16206859322548772, -0.5326133804707113, -0.015838006784475778, 1761317281616934002, 
-0.19588639615539738, -0.402122891066864, -0.028664951460304143, 1761317281707293738, 
-0.2548547303713906, -0.3232992002351882, -0.038680481080344935, 1761317281806293667, 
-0.28556968563856444, -0.3007774263058061, -0.04887854076980146, 1761317281906442820, 
-0.3175969163870166, -0.22044650946081, -0.054471883839155535, 1761317281996750064, 
-0.3501377896515387, -0.2162863510334955, -0.06384307093335403, 1761317282107353688, 
-0.36799770419048433, -0.158226490863786, -0.07235217641655685, 1761317282206318218, 
-0.37651080471305043, -0.08851067178147191, -0.07262726020893935, 1761317282306396777, 
-0.3691295843286992, -0.006134771160347029, -0.07825466578006524, 1761317282417126378, 
-0.3693301226465846, 0.021470383023894004, -0.0742973942943978, 1761317282506305367, 
-0.3674680876310842, 0.0054569697686947674, -0.06974086694399001, 1761317282606309254, 
-0.3643996521063864, 0.01643264365836464, -0.07342185725278065, 1761317282706328977, 
-0.3513606320958898, 0.05816494494027172, -0.06885143528531068, 1761317282796993242, 
-0.3449847299395934, 0.06737709060099649, -0.0707164375219727, 1761317282906329269, 
-0.33622248546317124, 0.048645803541799, -0.0720511288219804, 1761317283006329013, 
-0.33552783294177585, 0.03152111175314825, -0.0678108593635256, 1761317283106413429, 
-0.35623900348957066, -0.07444858648268377, -0.06511318048663321, 1761317283196349996, 
-0.35825621405673785, -0.08287690158670478, -0.06996673928532013, 1761317283306314010, 
-0.3545815042205749, 0.00613382943302023, -0.07482383732400744, 1761317283406317632, 
-0.3565162913644346, 0.00580757716765089, -0.07133737235357454, 1761317283506446160, 
